ï»¿County,Gender,Age_Group_of_Household_head_15-24_%_,Age_Group_of_Household_head_25-34_%,Age_Group_of_Household_head_35-59_%,Age_Group_of_Household_head_60+_%,Number_of_households,County_Centroid,OBJECTID
Baringo,Female,12%,26.20%,42.80%,18.90%,38778,"(0.67326285699999999, 35.943438069999999)",34
Uasin Gishu,Female,13.20%,28.70%,43.90%,14.30%,58083,"(0.53381106099999998, 35.319233859999997)",35
Elgeyo-Marakwet,Female,8.60%,22.70%,44.80%,23.90%,23967,"(0.80064760099999999, 35.536420939999999)",36
Nandi,Female,7.30%,23.10%,47.90%,21.60%,43158,"(0.18557890399999999, 35.113956139999999)",37
Laikipia,Female,11.60%,24.40%,45.10%,18.90%,37050,"(0.32376154499999998, 36.768709860000001)",38
Nakuru,Female,12%,28.40%,44.10%,15.50%,128641,"(-0.46427603699999997, 36.077737190000001)",39
Narok,Female,16.40%,28.50%,43%,12%,57991,"(-1.254599408, 35.57472679)",40
Kajiado,Female,17.20%,31.10%,40.70%,11%,54399,"(-2.1218753260000001, 36.908413529999997)",41
Kericho,Female,10.90%,24.50%,45.70%,18.80%,34464,"(-0.24299188099999999, 35.336599509999999)",42
Bomet,Female,11.90%,24.10%,42.70%,21.30%,52580,"(-0.69127657600000003, 35.28292999)",43
Kakamega,Female,9%,21.10%,46%,24%,122818,"(0.40615735600000002, 34.745339440000002)",44
Vihiga,Female,6%,17.50%,45.70%,30.70%,49777,"(0.078465934000000001, 34.722131930000003)",45
Bungoma,Female,8.40%,21.50%,47%,23.20%,83260,"(0.75075376699999996, 34.639862209999997)",46
Busia,Female,9.70%,21.20%,44.70%,24.40%,58364,"(0.385079797, 34.191127909999999)",47
Nairobi,Male,12.50%,42.60%,41.50%,3.50%,752007,"(-1.2926489320000001, 36.864854780000002)",48
Nyandarua,Male,6.40%,27.10%,50.10%,16.40%,94185,"(-0.32014949999999998, 36.480091790000003)",49
Nyeri,Male,0.90%,16.20%,56.50%,26.40%,129765,"(-0.34295653199999998, 36.953878789999997)",50
Kirinyaga,Male,6.10%,29.20%,50.30%,14.40%,108030,"(-0.522402857, 37.318654029999998)",51
Muranga,Male,4.70%,21.80%,50.10%,23.40%,160464,"(-0.80897564700000002, 37.03181197)",52
Kiambu,Male,9%,34%,46.60%,10.40%,337014,"(-1.0689645299999999, 36.821352779999998)",53
Mombasa,Male,11.20%,40.50%,43.60%,4.70%,208842,"(-4.018795613, 39.653975520000003)",54
Kwale,Male,6.80%,26.40%,50.90%,15.90%,81782,"(-4.1398571640000004, 39.15036963)",55
Kilifi,Male,8.20%,27.80%,49%,15.10%,134801,"(-3.1731002359999998, 39.683055940000003)",56
Tana Rriver,Male,10.30%,29.20%,47.40%,13.10%,32967,"(-1.557428783, 39.412916930000002)",57
Lamu,Male,9.60%,28.70%,47.80%,13.90%,16669,"(-2.0391399720000001, 40.767880740000003)",58
Taita Taveta,Male,7.80%,25.60%,49.50%,17.10%,47175,"(-3.4337677430000002, 38.417085350000001)",59
Marsabit,Male,5.80%,22.90%,49.90%,21.30%,35347,"(2.9818558570000002, 37.570225430000001)",60
Isiolo,Male,9%,27.90%,48.20%,14.80%,19256,"(1.011526022, 38.539068929999999)",61
Meru,Male,6.60%,30.30%,48%,15.10%,227809,"(0.14893278900000001, 37.748684419999996)",62
Tharaka,Male,5%,25.40%,51.30%,18.30%,60478,"(-0.19534945200000001, 37.932166090000003)",63
Embu,Male,5.60%,26.50%,51.10%,16.80%,88662,"(-0.60206859300000004, 37.625252140000001)",64
Kitui,Male,6%,20.90%,50.40%,22.70%,112733,"(-1.4867170190000001, 38.405995099999998)",65
Machakos,Male,7.40%,25.70%,49.70%,17.20%,167642,"(-1.2728947989999999, 37.41023963)",66
Makueni,Male,6.10%,20.50%,52%,21.50%,109372,"(-2.150161105, 37.783676219999997)",67
Garissa,Male,6.20%,25.90%,54.10%,13.80%,73575,"(-0.48705736100000002, 40.182868569999997)",68
Wajir,Male,3.10%,21%,60.30%,15.60%,71715,"(1.8078659530000001, 40.035683050000003)",69
Mandera,Male,2.20%,17.90%,64.30%,15.70%,102069,"(3.4378074010000002, 40.735090630000002)",70
Siaya,Male,9.30%,26.80%,41.80%,22%,108914,"(-0.059702986999999999, 34.246468110000002)",71
Kisumu,Male,11.70%,33.30%,42%,12.90%,144216,"(-0.16775005200000001, 34.834951770000004)",72
Homa Bay,Male,9.30%,30%,43.40%,17.30%,116129,"(-0.54096459799999996, 34.357439360000001)",73
Migori,Male,9.80%,32.90%,44.30%,13%,111247,"(-0.987697987, 34.368357680000003)",74
Kisii,Male,8.60%,28%,49%,14.50%,161005,"(-0.77064898299999995, 34.775954489999997)",75
Nyamira,Male,7.20%,27.20%,50.40%,15.20%,87946,"(-0.64099632399999995, 34.965002290000001)",76
Turkana,Male,4.90%,21.10%,57%,17.10%,77620,"(3.430630909, 35.426022940000003)",77
West Pokot,Male,10%,32.70%,45.90%,11.40%,61366,"(1.7226525589999999, 35.245003330000003)",78
Samburu,Male,9.50%,28.50%,46.40%,15.60%,24862,"(1.3198759849999999, 37.116767690000003)",79
Trans Nzoia,Male,10%,32.60%,45.80%,11.60%,120048,"(1.051858832, 34.957441060000001)",80
Baringo,Male,9.30%,28.40%,47.70%,14.50%,71871,"(0.67326285699999999, 35.943438069999999)",81
Uasin Gishu,Male,10.60%,34.60%,45.30%,9.40%,144208,"(0.53381106099999998, 35.319233859999997)",82
Elgeyo-Marakwet,Male,9.30%,29.80%,46.20%,14.60%,53588,"(0.80064760099999999, 35.536420939999999)",83
Nandi,Male,6.90%,30.80%,48.70%,13.60%,110915,"(0.18557890399999999, 35.113956139999999)",84
Laikipia,Male,8%,29.10%,47.80%,15.10%,66064,"(0.32376154499999998, 36.768709860000001)",85
Nakuru,Male,11.20%,34.50%,44%,10.20%,281195,"(-0.46427603699999997, 36.077737190000001)",86
Kajiado,Male,10.90%,37.70%,43.70%,7.60%,119065,"(-2.1218753260000001, 36.908413529999997)",87
Kericho,Male,8.30%,32.60%,48%,11.10%,93117,"(-0.24299188099999999, 35.336599509999999)",88
Bomet,Male,6.90%,31.80%,48.60%,12.70%,122334,"(-0.69127657600000003, 35.28292999)",89
Kakamega,Male,8.60%,28.30%,47.60%,15.50%,232861,"(0.40615735600000002, 34.745339440000002)",90
Vihiga,Male,4.70%,18.70%,49.10%,27.50%,73570,"(0.078465934000000001, 34.722131930000003)",91
Bungoma,Male,8.40%,30.80%,47.70%,13.10%,187564,"(0.75075376699999996, 34.639862209999997)",92
Busia,Male,9.40%,29.50%,44.90%,16.20%,95861,"(0.385079797, 34.191127909999999)",93
